Age [yr BP],10Be Concentration [atoms/g],10Be SD [atoms/g]
67,2.69E+04,2.55E+03
4056,4.16E+04,6.73E+03
6975,3.11E+04,7.52E+03
10065,1.59E+04,2.43E+03
12182,3.98E+04,5.83E+03
14262,4.09E+04,9.92E+03
14555,2.98E+04,4.72E+03
16710,3.16E+04,5.17E+03
17542,1.57E+04,3.62E+03
19603,2.72E+04,4.09E+03
19763,2.68E+04,4.21E+03
19773,9.12E+03,1.19E+03
21138,1.50E+04,2.71E+03
21509,1.34E+04,1.99E+03
21944,1.57E+04,1.69E+03
23273,1.43E+04,3.48E+03
27281,3.54E+04,6.55E+03
31290,2.69E+04,2.82E+03
32448,2.86E+04,2.32E+03
43508,3.23E+04,3.35E+03
53558,4.24E+04,2.73E+03
55731,3.48E+04,5.16E+03
59066,3.97E+04,3.03E+03
59387,3.67E+04,2.45E+03
66274,3.94E+04,6.17E+03
73859,5.62E+04,4.57E+03

