age_old_yr_BP,age_young_yr_BP,median_mm_yr,p16_mm_yr,p84_mm_yr,p2p5_mm_yr,p97p5_mm_yr
60000,57000,0.8195290063467147,0.6763303371662719,1.0232465312980141,0.5673337192688678,1.3305858740017602
57000,54000,0.23909829093913307,0.1999989293291206,0.2850831774559892,0.17012023323357614,0.3332087144813411
54000,51000,0.3034901514249464,0.20767726263639866,0.44636618545619633,0.1392880392602269,0.7438679155003513
51000,48000,0.3962150339543659,0.25548656724442903,0.6295300486248936,0.16730594622443234,0.9130208358180602
48000,45000,0.40610497031084536,0.3184628294975833,0.545594513506491,0.2537497138591998,0.7703924489628449
45000,42000,0.4470405922903423,0.31755872435691423,0.6389317168349727,0.23676193910129759,0.9515675498867899
42000,39000,0.5882032149193765,0.3768864999830677,0.9049017796652555,0.24082836074011976,1.3283926409270226
39000,36000,0.6714356060921367,0.42052447354116196,1.087870491638773,0.27243212019125934,1.551656348225864
36000,33000,0.42469804489097873,0.371100235123691,0.48482659058618777,0.32330514334208305,0.5558425649676014
33000,30000,0.46899918225966974,0.3759836470234446,0.6015260523627939,0.3059063510812095,0.7850212787130755
30000,27000,0.43530596382828934,0.34083715261143466,0.5587986863901278,0.273776476127408,0.7511336596454854
27000,24000,0.7338443050260965,0.6086592884021905,0.9071444666417744,0.5188638797755056,1.095132362946063
24000,21000,0.9796426800721155,0.8832761870143367,1.0888329906766168,0.8095031634928798,1.2086345729208474
21000,18000,0.913501775967394,0.7754902404006221,1.0901226196204683,0.6722061009734702,1.2702476331550536
18000,15000,0.3817322877943429,0.30600302765097,0.4856487597235291,0.24797106442782843,0.6490507710779894
15000,12000,0.4443516285480519,0.3716525690196391,0.5437449001459681,0.31532697454735265,0.6964733658685721
12000,9000,0.9256263304328771,0.7503459269793938,1.1735253422979903,0.611750576129627,1.4743791039283103
9000,6000,0.482589049480139,0.32646714144482647,1.1042702914548173,0.2431157830358988,1.7512000150111786
6000,3000,0.40110864412367114,0.2900802347352862,0.686395155268207,0.22444594837542764,1.3725581514673904
3000,0,0.49311567487166086,0.43619770301870003,0.5675243470559982,0.3877295331774255,0.7027512168898602
